iter	Passed	Remaining
0	2	214
1	3	154
2	4	139
3	5	129
4	6	124
5	7	119
6	8	116
7	9	113
8	10	109
9	11	107
10	13	105
11	14	103
12	15	101
13	16	99
14	17	97
15	18	94
16	19	94
17	20	93
18	21	91
19	22	91
20	23	89
21	24	88
22	25	86
23	26	85
24	27	83
25	28	82
26	30	81
27	31	79
28	32	78
29	33	77
30	35	78
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	41	71
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	50	61
45	51	60
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	51
54	60	49
55	61	48
56	62	47
57	63	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	41
63	70	39
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
